item_clean,SemDis_glove_c_m,response
tin can,0.37697,sotr smaller cans in it
tin can,1.62778,store smaller cans in it
tin can,0.31383,hold water
tin can,0.32098,hold food
tin can,1.6125699999999998,fill it with wax and use as a candle
tin can,0.98147,play canon
tin can,0.50866,metal shoes
tin can,1.65054,drum for music
tin can,0.3489799999999999,target practice
tin can,0.73463,lego blocks
tin can,0.70062,a rattle
tin can,1.68407,a musical instrument
tin can,0.52702,to store pens and pencils
tin can,1.6238,as a cup
tin can,1.66376,Musical instrumnet  drum or maracas
tin can,1.12009,Mirror
tin can,0.87991,Pencil pot
tin can,1.41132,door wedge with wieght in it
tin can,1.03604,bird feeder
tin can,,plantpot
tin can,0.34972,Use as a roller
tin can,1.69604,to hold drinks
tin can,0.59616,Plant pot
tin can,0.877,Coin tin
tin can,0.94846,Stationary tub
tin can,0.46516,Key storage
tin can,0.49266,Photo frame
tin can,1.66179,Bits and bobs storage
tin can,1.62968,shelter for small plants or seedlings with holes in the top
tin can,1.64208,one end of a communication toy  joined with string
tin can,0.3338299999999999,a middle section of a homemade rolling pin
tin can,1.04703,planters for plants
tin can,0.32006,make a tin man
tin can,0.83099,herb garden
tin can,0.69451,string holder
tin can,1.64706,a pot for throwing coins into from different distances
tin can,1.64222,a hat for a cat
tin can,1.6404,a hat for a cuddly toy
tin can,1.10821,a cookie cutter
tin can,1.5427,a mould for baking
tin can,1.6181100000000002,a tealight candle holder with holes poked into it
tin can,1.65364,a plant pot
tin can,0.36961,shooting target
tin can,1.01165,walky talkie
tin can,0.63134,ball game knock down
tin can,1.21464,circle stencil
tin can,0.92276,vase
tin can,0.87125,pencil holder
tin can,0.75127,pen holder
tin can,0.46241,make up brush holder
tin can,0.77161,candle unit
tin can,0.5620499999999999,fly trap
tin can,0.4790299999999999,paper weight
tin can,0.59616,plant pot
tin can,1.13477,cup
tin can,1.16859,shoes
tin can,0.46589,musical instrument
tin can,0.60922,wall decorations
tin can,0.8393200000000001,lampshade
tin can,0.94639,piping
tin can,0.6494599999999999,golf game
tin can,1.69487,a childs communication toy with paired and connected with string
tin can,1.66342,a pen pot
tin can,0.35836,an outdoor house for a mouse
tin can,1.62703,flatten can and make into a pendant
tin can,0.35429,fill with dry peas and use as a doorstop
tin can,0.3121899999999999,make a musical instrument
tin can,1.64892,squash them and make a collage
tin can,0.84829,candle holder
tin can,0.46241,make up brush holder
tin can,,plantpot
tin can,1.67091,weight lifting  resistance training  decorative shelf art  storage for pens  storage for makeup brus
tin can,0.4975699999999999,resistance weight
tin can,0.65509,decorative art
tin can,1.24784,storage
tin can,1.65418,game to knock done tins with a stone
tin can,0.85417,booby trap
tin can,0.62001,foot roller
tin can,1.69919,weights for arms
tin can,0.36002,safe storage
tin can,1.1897,instrument
tin can,1.09184,weights
tin can,0.87974,rolling pin
tin can,0.9606,cookie cutter
tin can,0.9755,flower vase
tin can,0.87125,pencil holder
tin can,1.65893,Weapon Like A Bolo
tin can,0.99551,Stilts
tin can,1.24922,Monitor Riser
tin can,0.57558,Fairground Attraction Can Knockdown
tin can,0.4636,Digging Tool
tin can,0.34987,fill with  nails or something to create a musical instrument
tin can,1.63857,drill holes in a nice patter and put a fake candle in to create a lantern
tin can,0.32686,paint decorative and use asa garden ornament
tin can,0.84829,candle holder
tin can,1.64832,put holes in it and turn it into a watering can
tin can,1.6183,store pens and pencils in it  like a pen pot
tin can,0.29715,create music with it
tin can,0.59616,plant pot
tin can,1.62596,hide small valuables
tin can,0.3073399999999999,stack into a tower
tin can,0.84829,candle holder
tin can,1.40081,hold paintbrushes/paperclips/screw
tin can,0.3363199999999999,to play skittles
tin can,0.3489799999999999,target practice
tin can,0.35822,to play scent games with dogs
tin can,0.35243,as wheels on a toy truck
tin can,1.6666,as a drum
tin can,1.5485,use as a candle holder
tin can,1.6257899999999998,use to put in screws or nails
tin can,1.39058,lego brick holder
tin can,1.10464,drum
tin can,0.73571,paint container
tin can,0.90572,lens hood
tin can,0.82384,lamp shade
tin can,1.27323,mobile
tin can,1.04919,rattle
tin can,1.29697,makeup brush holder
tin can,0.46589,musical instrument
tin can,1.08217,percussion
tin can,1.63228,tie onto the back of wedding car
tin can,0.33401,empty fat from cooking into it
tin can,1.24784,storage
tin can,0.59616,plant pot
tin can,0.49368,drinking cup
tin can,0.51938,Stepping stones
tin can,0.87974,Rolling pin
tin can,1.2441,Weight
tin can,0.49626,Support shelf
tin can,1.11267,Wheel
tin can,1.6980499999999998,Write on back of label
tin can,1.09114,Bucket
tin can,0.50511,Liquid measure
tin can,0.94827,create stilts
tin can,0.34916,create a cup in ball game
tin can,1.64155,create a slug trap for your garden
tin can,1.6718,house for bugs
tin can,1.09114,bucket
tin can,0.79522,pen pot
tin can,0.5346299999999999,communication device
tin can,1.10867,hat
tin can,0.96908,bug catcher
tin can,0.59616,plant pot
tin can,0.49368,drinking cup
tin can,0.34748,To make a big metal sculpture
tin can,0.37336,To take the lids off and make earings
tin can,1.48838,To make a vase out of
tin can,0.30921,To use the lids for a mobile
tin can,1.32408,Use the sharp edges as cutterse
tin can,0.3611,To create a form of musical instrument  fill each tin with a different amount of water
tin can,0.29581,to wear as shoes
tin can,0.36077,to use as a makeshift ladder
tin can,1.6380400000000002,to use as a makeshift phone  with string between two cans
tin can,1.61726,to bang together as a percussion instrument
tin can,0.30361,to store rare gems
tin can,1.70796,to eat cereal out of
tin can,0.35295,to play as a tiny drum
tin can,0.35666,to use as a football soccer
tin can,1.67118,to throw at a wall
tin can,0.35948,to use as a ball in a game of catch
tin can,1.64301,to inscribe words into
tin can,1.6666,as a drum
tin can,1.49413,as a necklace
tin can,1.66248,use as a plant pot
tin can,0.4695399999999999,a telescope
tin can,1.67321,flatten and turn into a plate
tin can,1.0299,make planters out of them
tin can,0.31284,disguise precios items in them
tin can,0.2982,pain them and make decorative storage tins
tin can,0.3516899999999999,make play phones with them and a piece of string
tin can,1.50963,put them in bottom of a big planter for drainage
tin can,1.63383,use them as cookie cutters
tin can,1.44646,storage for nuts and bolts
tin can,1.63721,cut into bracelets
tin can,1.66946,house for insects
tin can,1.69991,exhaust for car
tin can,0.31666,make into toy car
tin can,0.33867,wheels for a toy
tin can,1.69087,build a tower
tin can,1.69725,raise something up
tin can,1.18422,use as stilts
tin can,1.65273,put flowers in
tin can,1.43328,pint and decorate
tin can,0.36285,Make a listening device with 2 tin cans and a piece of string
tin can,0.3595899999999999,Make drums with the tin cans
tin can,0.3637599999999999,Make an tower with tin cans and then paint them
tin can,1.6369,Use the tin cans as bowling pins  and play bowlin
tin can,0.3,any sort of storage
tin can,1.65364,a plant pot
tin can,1.68876,painting it children
tin can,0.84829,candle holder
tin can,0.33413,make a drum set
tin can,1.644,target practice like the fun fair game
tin can,1.68319,make a tower
tin can,1.6349200000000002,a time capsule
tin can,0.59616,plant pot
tin can,1.67258,collect water when it rains
tin can,1.6733,put buttons in
tin can,1.70193,put tools in
tin can,1.66872,target for shooting
tin can,1.2729,phone
tin can,1.1415,drums
tin can,1.16369,painting
tin can,0.87991,pencil pot
tin can,0.7288399999999999,flower pot
tin can,0.84829,candle holder
tin can,0.3662999999999999,for storage
tin can,0.82433,cup holder
tin can,0.58106,water holder
tin can,0.4095,watering can
tin can,0.46589,musical instrument
tin can,0.75127,Pen holder
tin can,,plantpot
tin can,1.13477,cup
tin can,0.46589,musical instrument
tin can,0.96817,insect catcher
tin can,1.10464,drum
tin can,0.8739399999999999,rain catcher
tin can,1.14507,toilet
tin can,0.6279,sick bowl
tin can,1.07387,dish
tin can,0.3461999999999999,holding water
tin can,0.38275,making music
tin can,0.4221899999999999,making decorations
tin can,1.68824,hiding something inside
tin can,1.67529,to collect water
tin can,0.92276,vase
tin can,1.10867,hat
tin can,0.40456,kick the can/soccer
tin can,0.75127,Pen holder
tin can,1.1044,Container
tin can,0.77098,Coin box
tin can,0.68127,Cook's measure
tin can,1.04182,Decoration
tin can,0.84926,Grains' container
tin can,1.13848,paintbrush holder
tin can,0.9123,modelling equipment
tin can,1.36154,decorative lamp holder
tin can,1.65934,space model staple
tin can,1.12879,wheels
tin can,0.6973,post holder
tin can,0.47936,small bin
tin can,1.12009,mirror
tin can,1.56074,paint decorative figure
tin can,0.9786,peg holder
tin can,1.11971,paintbrushed holder
tin can,0.84829,candle holder
tin can,0.362,pool for a baribie doll
tin can,1.66012,as a step to stand on to reach something up high
tin can,0.5455099999999999,paint and use as an ornament
tin can,0.62395,bird bath
tin can,1.27162,tooth brush holder
tin can,0.64594,camping cup
tin can,0.30782,as a car bin
tin can,0.44515,string phone
tin can,0.71698,mini drum
tin can,1.08015,toy
tin can,0.75127,pen holder
tin can,1.70277,terrible ammunition for a tank
tin can,1.09118,football
tin can,0.37041,cutting tool
tin can,0.9606,cookie cutter
tin can,0.87974,rolling pin
tin can,0.34658,one end of a toy telephone
tin can,1.64128,fill it with hot sand to cook feathers for making quill pens
tin can,0.33147,knock tghe ends out and use as a short puipe
tin can,1.6226,tiny plant pot
tin can,0.45657,hammer flat to use as shovel
tin can,1.67194,musical isntriment if filled with rattly things
tin can,0.6990799999999999,make yorkshire puddings
tin can,1.46273,a candle holder
tin can,1.7078,something to eat cereal from
tin can,1.68204,to cook on a fire
tin can,0.34474,a table for a small animal
tin can,0.94147,a sock holder
tin can,1.42966,Paint brush holder
tin can,1.03604,Bird feeder
tin can,0.46589,Musical Instrument
tin can,0.5135000000000001,Cake mould small
tin can,0.91223,toothbrush holder
tin can,0.9187,containers for small items like screw  nails etc
tin can,1.15855,bird scarer
tin can,1.12265,palnt pot
tin can,0.59616,plant pot
tin can,1.18252,scoop for amimal feeds
tin can,1.1415,drums
tin can,0.55236,clash symbols
tin can,1.14965,speaker
tin can,1.09114,bucket
tin can,0.4170199999999999,play telephone
tin can,0.59616,plant pot
tin can,1.5765,shiny building block
tin can,1.15855,bird scarer
tin can,1.57076,impression of water
tin can,1.67247,as an instrument
tin can,1.43848,cut up for jewellery shapes
tin can,0.59616,plant pot
tin can,1.64116,Join several together to make a tube for water from a drainpipe
tin can,0.9755,Flower vase
tin can,0.71698,mini drum
tin can,0.3254,Slice to make bracelets
tin can,0.52631,Slice to make earrings
tin can,1.46543,Protector for the bottom of trees
tin can,0.91237,Wind chime
tin can,0.33867,Wheels for a toy
tin can,1.03358,Utensil holder
tin can,1.67002,money box  hold pens  make up brush holder   cup
tin can,0.91223,toothbrush holder
tin can,0.3701799999999999,For a craft doll
tin can,1.69426,To make a string phone
tin can,0.4258699999999999,A drum
tin can,1.03604,Bird feeder
tin can,0.95557,Pastry cutter
tin can,0.35305,Stencil for craft
tin can,0.92495,Piggy bank
tin can,1.12265,Vase/flower pot
tin can,1.05788,bowl
tin can,1.13477,cup
tin can,1.70612,tin can phone
tin can,1.10464,drum
tin can,0.8393200000000001,lampshade
tin can,0.87974,rolling pin
tin can,0.91339,paperweight
tin can,0.67211,cat toy
tin can,0.49854,dog toy
tin can,0.9606,cookie cutter
tin can,1.12009,mirror
tin can,1.12498,ruler
tin can,1.64401,to use as a circle stencil
tin can,1.12511,Lamp
tin can,1.11971,tealight holder
tin can,0.48502,wall art
tin can,1.09142,sculpture
tin can,1.0145,Jewellery
tin can,0.3242899999999999,tin can on a string phone
tin can,1.66257,space rocket toy
tin can,0.29791,nose for an animal
tin can,1.65324,as a glove for a robot costume
tin can,1.68302,as a pointy shoe
tin can,0.3267799999999999,to hold items eg pens
tin can,0.29993,to make a tower with other tins
tin can,1.5219399999999998,rocket thrusters on a rocket toy
tin can,0.38275,making music
tin can,0.90793,rice shaker
tin can,1.31489,weapon
tin can,0.3595699999999999,tie to the back of a wedding car
tin can,0.4381899999999999,painting activity
tin can,0.30461,cut things up with
tin can,1.689,As a drum/percussion instrument
tin can,1.6389,As a bug hotel in the garden
tin can,0.33584,As a vase for flowers
tin can,1.14383,To store pens/pencils etc
tin can,0.84829,candle holder
tin can,0.59616,plant pot
tin can,1.02976,walky talkies
tin can,0.58106,water holder
tin can,0.63454,cooking pot
tin can,1.18962,pinhole camera
tin can,0.99851,scoop
tin can,0.48021,walking shoes
tin can,0.95856,totem pole
tin can,0.59616,plant pot
tin can,1.09828,cutlery holder
tin can,0.3607,can light
tin can,1.58251,tea light holder
tin can,0.92276,vase
tin can,1.65112,Can be used with another can and  piece of string as a telephone
tin can,0.34722,Can be used as a drum to make different sounds
tin can,0.75127,pen holder
tin can,1.68505,something to draw circles around
tin can,0.4790299999999999,paper weight
tin can,1.67321,unit of measure
tin can,0.36961,shooting target
tin can,0.46589,musical instrument
tin can,1.31489,weapon
tin can,0.91225,skittle
tin can,1.69303,stack to create a tower
tin can,0.83499,WD40 testor
tin can,1.69868,tin can telephone
tin can,0.83032,piggybank
tin can,1.03968,echo
tin can,0.75404,Plant holder
tin can,0.5450900000000001,ice maker for keeping beer etc cold at BBQs
tin can,1.6922899999999998,build a wall
tin can,1.31489,weapon
tin can,0.37358,use for welding or to repair a car
tin can,1.03113,fermentation
tin can,0.3104099999999999,recycling into something else
tin can,0.9825,magnetism
tin can,0.30227,make things from it
tin can,0.33268,trade in at the scrap yard 
tin can,0.84829,candle holder
tin can,0.7783599999999999,baking tin for cakes
tin can,1.1897,instrument
tin can,0.65988,tool to paint with or create texture
tin can,1.13477,cup
tin can,1.13477,cup
tin can,0.95154,spoon
tin can,0.59616,plant pot
tin can,0.97383,cutter
tin can,1.09828,cutlery holder
tin can,1.03566,mug
tin can,0.85282,soup cup
tin can,1.24109,aerial
tin can,0.32796,measuring cup  baking tin  storage  utensil holder  for crafting  making toys with  drinking utensil
tin can,0.92749,baking tin
tin can,1.24784,storage
tin can,1.03358,utensil holder
tin can,0.32477,for eating out of
tin can,1.6763,drinking out of
tin can,0.3440299999999999,make a musical instrument using the tin can
tin can,1.67717,cut it up and make art with the metal
tin can,0.3624199999999999,make a sculpture out of a pile of tin cans
tin can,1.65271,make holes in it and make a water feature
tin can,0.3353,play a song by hitting it with things
tin can,1.62904,use the tin to create mini drums
tin can,1.64839,use the tin to cook food in on an open fire
tin can,0.36722,stack the cans to create things for fun
tin can,1.41936,stilts for kids
tin can,1.6926,telephones  with string
tin can,0.31405,weights for working out
tin can,0.3277799999999999,door stop
tin can,0.43901,murder weapon
tin can,1.30719,foot massager
tin can,0.31894,roll along under something heavey
tin can,1.65253,throne for a hamster
tin can,0.5042,robot arms
tin can,0.92276,vase
tin can,0.63498,key holder
tin can,0.58497,water collector
tin can,0.95881,jug
tin can,0.55796,shower head
tin can,0.59616,plant pot
tin can,0.47675,mouse house
tin can,1.25295,telephone
tin can,0.3313899999999999,mobile for a baby
tin can,0.8209299999999999,flowerpot
tin can,,mug/cup
tin can,1.10464,drum
tin can,0.99551,stilts
tin can,0.31566,poke holes in it and use as a colander
tin can,0.54104,Bug hotel
tin can,0.7288399999999999,flower pot
tin can,,windchime
tin can,0.94088,planter
tin can,0.4095,watering can
tin can,0.92276,vase
tin can,0.31582,storage for small thing
tin can,0.79522,pen pot
tin can,0.87653,cake tin
tin can,1.06917,microphone
tin can,0.6024,drinks bottle
tin can,0.94088,planter
tin can,0.46816,heel for a shoe
tin can,0.90371,circle cutter
tin can,1.15596,glasses
tin can,0.48502,wall art
tin can,0.31755,hooves for an animal outfit
tin can,0.46589,musical instrument
tin can,1.17291,tower
tin can,1.69087,build a tower
tin can,0.3456599999999999,store things
tin can,0.59616,plant pot
tin can,0.6311599999999999,paint pot
tin can,1.06459,recycle
tin can,0.36128,bake a cake in a can
tin can,0.30959,wheels on a vehicle
tin can,0.3980399999999999,kick it
tin can,0.32513,play catch with it
tin can,0.59616,plant pot
tin can,1.35696,a tumbler
tin can,1.66123,to store pens
tin can,0.3452699999999999,a toy for children
tin can,0.35838,to make candles in
tin can,0.30328,create a musical instrument
tin can,1.47717,To play bowls
tin can,0.3363199999999999,To play skittles
tin can,1.6789,As a weight
tin can,1.6921,To keep a door open
tin can,1.69503,As a weapon
tin can,1.25295,Telephone
tin can,0.57235,Garden pot
tin can,0.75127,pen holder
tin can,0.84829,candle holder
tin can,,windchime
tin can,0.92276,vase
tin can,0.45424,model building
tin can,1.65616,sand castle building
tin can,0.73556,a ladder
tin can,1.09184,weights
tin can,1.29764,steps
tin can,1.03821,clothes peg container
tin can,0.78273,hide jewellery
tin can,0.95676,slug catcher
tin can,0.46589,musical instrument
tin can,1.69517,a step to reach something
tin can,0.89415,Bowling pins
tin can,0.3489799999999999,Target practice
tin can,1.0134,Storage tins
tin can,1.04196,Measuring jug
tin can,1.09114,Bucket
tin can,1.1702,Bin
tin can,0.3317799999999999,One end of a string telephone
tin can,0.45462,drinking vessel
tin can,1.62353,blunt instrument weapon
tin can,1.01578,saucepan
tin can,0.97913,lantern
tin can,0.59616,plant pot
tin can,1.14241,utensil storage
tin can,1.12739,candel holder
tin can,0.92276,vase
tin can,1.63797,flower pot  tie to another one as a communication device  store pencils  draw round it  cut out cook
tin can,0.87244,cut out cookie dough
tin can,1.68674,store things in
tin can,0.92276,vase
tin can,0.3522699999999999,tie it in the tree as a bird scarer
tin can,0.6109,make percussive music
tin can,0.29829,carry things in them
tin can,0.38341,make belllike music
tin can,0.3274899999999999,make puppet or figures
tin can,1.69883,use them in largescale art to reflect light
